id	type	modified	language	rightsHolder	references	institutionID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	informationWithheld	dynamicProperties	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	sex	lifeStage	preparations	disposition	otherCatalogNumbers	associatedMedia	associatedSequences	associatedTaxa	associatedOccurrences	samplingProtocol	eventDate	startDayOfYear	year	month	day	verbatimEventDate	habitat	fieldNumber	higherGeography	continent	waterBody	islandGroup	island	country	stateProvince	county	locality	verbatimLocality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceRemarks	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lithostratigraphicTerms	group	formation	member	bed	identifiedBy	dateIdentified	identificationRemarks	identificationQualifier	identificationVerificationStatus	typeStatus	scientificName	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	nomenclaturalCode
MCZ:Mala:127866	PhysicalObject	2014-05-21 15:15:16.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:127866	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen		{}	MCZ:Mala:127866	127866			[no agent data]	1			shell (dry)	in collection	malacology accession number=904							0				[no verbatim date data]			Atlantic Ocean: Atlantic, Western Central: Caribbean Sea	Atlantic Ocean							&quot;Cuba, Penas Altas,&quot;	Western Atlantic, Cuba., &quot;Matanzas,&quot;, &quot;Penas Altas,&quot;																															António M. de Frias Martins						Pedipes mirabilis	Animalia Mollusca Gastropoda Heterobranchia Pulmonata Ellobioidea Ellobiidae Pedipes mirabilis	Animalia	Mollusca	Gastropoda	Pulmonata	Ellobiidae	Pedipes	mirabilis				(Mühlfeld, 1816)	ICZN
MCZ:Mala:125767	PhysicalObject	2014-12-16 12:49:45.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:125767	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen		{}	MCZ:Mala:125767	125767			Blake	1			shell (dry)	in collection							1877-01-01/1878-12-31	0				1877-78			Atlantic Ocean: Atlantic, Western Central: Caribbean Sea	Atlantic Ocean							&quot;Station 62, off Havana, Cuba&quot;	Western Atlantic, [Cuba]., &quot;Station 62, off Havana,&quot;					146.304																										[no agent data]		"Rec: Blake Expedition. Fissurella (Cremides) alternata Say var. sayi Dall, 1889 in Kabat, 1995." Lectotype			Lectotype of Fissurella alternata sayi	Fissurella alternata sayi	Animalia Mollusca Gastropoda Vetigastropoda Fissurelloidea Fissurellidae Fissurella alternata sayi	Animalia	Mollusca	Gastropoda		Fissurellidae	Fissurella	alternata	sayi			Dall, 1889	ICZN
MCZ:Mala:120742	PhysicalObject	2014-06-20 10:06:58.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:120742	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen		{}	MCZ:Mala:120742	120742			Owen F. Bryant	1			body (70% ethanol)	in collection	malacology accession number=658; previous number=3651; rdt jar number=179						1922-01-01/1924-12-31	0				1922-4			Atlantic Ocean: Atlantic, Western Central: Caribbean Sea	Atlantic Ocean							St. George, McCallan, block 18, Bermuda	Atlantic, Bermuda, St. George, McCallan, block 18																															[no agent data]		previously identified as Teredo thomsonii; valves/pallets only BBS-3				Teredora malleolus	Animalia Mollusca Bivalvia Heterodonta Myoida Pholadoidea Teredinidae Teredora malleolus	Animalia	Mollusca	Bivalvia	Myoida	Teredinidae	Teredora	malleolus				Turton, 1822	ICZN
MCZ:Mala:121487	PhysicalObject	2014-12-16 12:51:42.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:121487	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen		{}	MCZ:Mala:121487	121487			National Research Council	1			body (70% ethanol)	in collection	malacology accession number=658; previous number=4402; rdt jar number=193						1922-01-01/1924-12-31	0				1922-4			Atlantic Ocean: Atlantic, Western Central: Caribbean Sea	Atlantic Ocean							Port au Prince, Haiti	Atlantic, Haiti, Port au Prince						18.555116d	-72.348905d	decimal degrees	18.555116	-72.348905	WGS84	5902	5902	beniorkino	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	unknown															[no agent data]		YD-P-1, Block 10e		unverified		Nototeredo knoxi	Animalia Mollusca Bivalvia Heterodonta Myoida Pholadoidea Teredinidae Nototeredo knoxi	Animalia	Mollusca	Bivalvia	Myoida	Teredinidae	Nototeredo	knoxi				Bartsch, 1917	ICZN
MCZ:Mala:121542	PhysicalObject	2014-12-16 12:51:52.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:121542	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen		{}	MCZ:Mala:121542	121542			National Research Council	1			body (70% ethanol)	in collection	malacology accession number=658; previous number=4457; rdt jar number=175						1922-01-01/1924-12-31	0				1922-4			Atlantic Ocean: Atlantic, Western Central: Caribbean Sea	Atlantic Ocean							Port au Prince, Haiti	Atlantic, Haiti, Port au Prince						18.555116d	-72.348905d	decimal degrees	18.555116	-72.348905	WGS84	5902	5902	beniorkino	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	unknown															[no agent data]		YD-P-1-NB, Block 2		unverified		Teredo fulleri	Animalia Mollusca Bivalvia Heterodonta Myoida Pholadoidea Teredinidae Teredo fulleri	Animalia	Mollusca	Bivalvia	Myoida	Teredinidae	Teredo	fulleri				Clapp, 1924	ICZN
MCZ:Mala:120826	PhysicalObject	2014-06-11 11:47:14.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:120826	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen		{"reference":"Lamy, E. 1923 Bulletin du Museum National d'Histoire Naturelle 2:177"}	MCZ:Mala:120826	120826	reference: Lamy, E. 1923 Bulletin du Museum National d'Histoire Naturelle 2:177		Dr. Lamy, Paris	1			shell (dry)	in collection	malacology accession number=658							0				[no verbatim date data]											Red Sea	Red Sea																															[no agent data]		orig. no. 3736			Syntype of Teredo miliacea	Teredo miliacea	Animalia Mollusca Bivalvia Heterodonta Myoida Pholadoidea Teredinidae Teredo miliacea	Animalia	Mollusca	Bivalvia	Myoida	Teredinidae	Teredo	miliacea				Jousseaume in Lamy, 1923	ICZN
MCZ:Mala:121621	PhysicalObject	2014-06-20 10:04:55.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:121621	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen		{}	MCZ:Mala:121621	121621			National Research Council	1			shell (dry)	in collection	malacology accession number=658; previous number=4536; rdt jar number=190						1922-01-01/1924-12-31	0				1922-4			Atlantic Ocean: Atlantic, Western Central: Caribbean Sea	Atlantic Ocean							St. George, McCallan, Bermuda	Atlantic, Bermuda, St. George, McCallan																															[no agent data]		valves/pallets only, BBS-3, Block 6				Teredora malleolus	Animalia Mollusca Bivalvia Heterodonta Myoida Pholadoidea Teredinidae Teredora malleolus	Animalia	Mollusca	Bivalvia	Myoida	Teredinidae	Teredora	malleolus				Turton, 1822	ICZN
MCZ:Mala:120749	PhysicalObject	2014-06-20 10:05:50.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:120749	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen		{}	MCZ:Mala:120749	120749			National Research Council	1			body (70% ethanol)	in collection	malacology accession number=658; previous number=3658; rdt jar number=190						1922-01-01/1924-12-31	0				1922-4			Atlantic Ocean: Atlantic, Western Central: Caribbean Sea	Atlantic Ocean							St. George, McCallan, Bermuda	Atlantic, Bermuda, St. George, McCallan																															[no agent data]		valves/pallets only, BBS-3, Block 4				Teredora malleolus	Animalia Mollusca Bivalvia Heterodonta Myoida Pholadoidea Teredinidae Teredora malleolus	Animalia	Mollusca	Bivalvia	Myoida	Teredinidae	Teredora	malleolus				Turton, 1822	ICZN
MCZ:Mala:122028	PhysicalObject	2014-12-16 12:54:00.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:122028	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen		{}	MCZ:Mala:122028	122028			William Frederick Clapp, United Fruit Company	1			body (70% ethanol)	in collection	malacology accession number=658; previous number=4942; rdt jar number=192						1935-07-01/1936-01-31	0				Jul- Jan/1935-6			Atlantic Ocean: Atlantic, Western Central: Caribbean Sea	Atlantic Ocean							Banes, Embarcadero Wharf, Cuba	Atlantic, Cuba, Banes, Embarcadero Wharf																															[no agent data]		B-C-1, T-12				Nototeredo knoxi	Animalia Mollusca Bivalvia Heterodonta Myoida Pholadoidea Teredinidae Nototeredo knoxi	Animalia	Mollusca	Bivalvia	Myoida	Teredinidae	Nototeredo	knoxi				Bartsch, 1917	ICZN
MCZ:Mala:121002	PhysicalObject	2014-06-20 10:03:29.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Mala:121002	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Mala	Museum of Comparative Zoology, Harvard University	PreservedSpecimen		{}	MCZ:Mala:121002	121002			National Research Council	1			shell (dry)	in collection	malacology accession number=658; previous number=3917; rdt jar number=193						1922-01-01/1924-12-31	0				1922-4			Atlantic Ocean: Atlantic, Western Central: Caribbean Sea	Atlantic Ocean							Guantanamo Bay, main station pier, Cuba	Atlantic, Cuba, Guantanamo Bay, main station pier																															[no agent data]		YD-C-1, Block 3e				Nototeredo knoxi	Animalia Mollusca Bivalvia Heterodonta Myoida Pholadoidea Teredinidae Nototeredo knoxi	Animalia	Mollusca	Bivalvia	Myoida	Teredinidae	Nototeredo	knoxi				Bartsch, 1917	ICZN
